rank,price,currency,origin,destination_code,destination_name,country_code,depart,stops,booking_link
28,164,USD,IAD,NYC,"New York, United States",US,2026-07-24,0,https://www.aviasales.com/search/IAD2407NYC1?t=UA17849321401784937540000090IADEWR_4f3b128bd911db253e88da9314648644_12788&search_date=22072026&expected_price_uuid=019f8af5-3ca2-8040-a26a-c259f26a1007&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=zpd5mt7YSnVJ6rgAvBCRPw&origin_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=164&marker=741311
64,139,USD,AUS,NAS,"Nassau, Bahamas",BS,2026-07-24,1,https://www.aviasales.com/search/AUS2407NAS1?t=UA17848857001784908560000321AUSIAHNAS_3b7ed340f500859896d609bc4cbb19be_10839&search_date=22072026&expected_price_uuid=019f8c44-142a-8030-a869-335e080a511a&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=rZLZwLGfXW7iTf51uDzVug&expected_price_source=share&expected_price_currency=usd&expected_price=139&marker=741311
74,123,USD,SEA,ANC,"Anchorage, United States",US,2026-07-24,1,https://www.aviasales.com/search/SEA2407ANC1?t=HA17848980001784926740000539SEALASANC_5957485c7650abecff97f48876e613b9_9609&search_date=17072026&expected_price_uuid=019f71e4-8806-8040-64d1-0775d3e48f9d&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH1%7CR0%7CTBC0&itinerary_key=OMBHOd_qiRmg539iE8azuA&expected_price_source=share&expected_price_currency=usd&expected_price=123&marker=741311
93,204,USD,MCO,LON,"London, United Kingdom",GB,2026-07-26,0,https://www.aviasales.com/search/MCO2607LON1?t=Z017850978001785146400000510MCOLGW_5a2e727c6d1b4e976f38efea1c603291_15988&search_date=21072026&expected_price_uuid=019f8711-5126-8030-ed80-51cc30d7e9ff&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=92I3pC4XkNGwG7nyDPV_Iw&origin_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=204&marker=741311
126,180,USD,TPA,COS,"Colorado Springs, United States",US,2026-07-27,0,https://www.aviasales.com/search/TPA2707COS1?t=G417851374001785142680000208PIECOS_0a0c6ff35260022d20f924686a25862b_14108&search_date=17072026&expected_price_uuid=019f70df-83d6-8040-6b9a-63d5af3ebd62&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=Ctu8s3a5TFNVVNoSddedXw&expected_price_source=share&expected_price_currency=usd&expected_price=180&marker=741311
130,182,USD,ATL,BHM,"Birmingham, United States",US,2026-07-26,1,https://www.aviasales.com/search/ATL2607BHM1?t=MX17851057201785135780000561ATLFLLBHM_f5945d182255772b275fe275278ad6a8_14231&search_date=17072026&expected_price_uuid=019f709f-7972-8030-2a74-3603d7acf7af&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=sz6CAxtenneoWDkgcO-dYA&expected_price_source=share&expected_price_currency=usd&expected_price=182&marker=741311
139,522,USD,DFW,GNV,"Gainesville, United States",US,2026-07-24,0,https://www.aviasales.com/search/DFW2407GNV1?t=AA17848989001784911560000151DFWGNV_928855cf0fe437b762f08befa1e44570_40912&search_date=22072026&expected_price_uuid=019f87e4-5204-8030-ef7e-5eb43dc9e4f8&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=eXm2UrNoOsLqiFjWTKAUYA&expected_price_source=share&expected_price_currency=usd&expected_price=522&marker=741311
143,238,USD,FLL,AIY,"Atlantic City, United States",US,2026-07-22,1,https://www.aviasales.com/search/FLL2207AIY1?t=MX17847000001784716020000267FLLTPAACY_eb4ba3f3350c46f5c61884b19a48c960_18594&search_date=18072026&expected_price_uuid=019f72fc-896c-8040-2f50-fe76d329e03d&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=wVAqWr7qocUNE0M89L8CaA&expected_price_source=share&expected_price_currency=usd&expected_price=238&marker=741311
162,313,USD,MCO,IAG,"Niagara Falls, United States",US,2026-07-24,1,https://www.aviasales.com/search/MCO2407IAG1?t=G417848737001784898960000421MCOMYRIAG_3444a8a00a422db1e7ed76e39f3e8ed7_24418&search_date=23072026&expected_price_uuid=019f8c96-0390-8040-6a19-d29893609677&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=XwmEuBv6dZgnw2iGap5LbQ&origin_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=313&marker=741311
166,259,USD,ORD,BZN,"Bozeman, United States",US,2026-07-24,0,https://www.aviasales.com/search/ORD2407BZN1?t=UA17848692001784885820000337ORDDENBZN_412a3a93b9e23852bb339adaf04a5b28_20325&search_date=21072026&expected_price_uuid=019f86ee-68a5-8030-a9ed-ba650c2abd1f&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=5vPCaKCuxdN3adK91_0BmQ&origin_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=259&marker=741311
174,285,USD,JFK,ROM,"Rome, Italy",IT,2026-07-27,1,https://www.aviasales.com/search/JFK2707ROM1?t=Z017851764001785287400001490JFKLGWLTNPMIFCO_3e6cb55db23c5446e3ceefebc7ee2652_22317&search_date=24072026&expected_price_uuid=019f92b4-dbf8-8040-6a8d-cbd5b0afe6dd&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=JNp7xgW6MoBDJ32e1Djkqw&origin_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=285&marker=741311
189,410,USD,JFK,BOG,"Bogota, Colombia",CO,2026-07-27,1,https://www.aviasales.com/search/JFK2707BOG1?t=AV17851185001785174000000985JFKGYEBOG_dce702ea9decc9e020199f6d947193bb_32032&search_date=18072026&expected_price_uuid=019f7784-4d90-8040-208e-8c10727bef2c&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=HsH6XFz9SAhnqOWI0QAsKw&origin_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=410&marker=741311
